body,sale_month,month_name,seasonal_factor,seasonal_delta_pct,raw_factor,observations,confidence,is_observed,body_observations,recommendation_eligible_months,has_recommendation,best_month,best_month_name,best_factor,worst_month,worst_month_name,worst_factor
access cab,1,Jan,0.9986,-0.1,0.9735,56,low,True,289,0,False,2,Feb,1.0055,12,Dec,0.9971
access cab,2,Feb,1.0055,0.5,1.0716,83,low,True,289,0,False,2,Feb,1.0055,12,Dec,0.9971
access cab,3,Mar,0.9996,-0.0,0.9858,26,low,True,289,0,False,2,Feb,1.0055,12,Dec,0.9971
access cab,4,Apr,1.0001,0.0,1.0789,1,low,True,289,0,False,2,Feb,1.0055,12,Dec,0.9971
access cab,5,May,1.0018,0.2,1.0516,36,low,True,289,0,False,2,Feb,1.0055,12,Dec,0.9971
access cab,6,Jun,0.9984,-0.2,0.9692,56,low,True,289,0,False,2,Feb,1.0055,12,Dec,0.9971
access cab,7,Jul,1.0002,0.0,1.1659,1,low,True,289,0,False,2,Feb,1.0055,12,Dec,0.9971
access cab,8,Aug,1.0,0.0,1.0,0,no_data,False,289,0,False,2,Feb,1.0055,12,Dec,0.9971
access cab,9,Sep,1.0,0.0,1.0,0,no_data,False,289,0,False,2,Feb,1.0055,12,Dec,0.9971
access cab,10,Oct,1.0,0.0,1.0,0,no_data,False,289,0,False,2,Feb,1.0055,12,Dec,0.9971
access cab,11,Nov,1.0,0.0,1.0,0,no_data,False,289,0,False,2,Feb,1.0055,12,Dec,0.9971
access cab,12,Dec,0.9971,-0.3,0.9009,30,low,True,289,0,False,2,Feb,1.0055,12,Dec,0.9971
beetle convertible,1,Jan,0.9993,-0.1,0.9664,22,low,True,59,0,False,2,Feb,1.0005,1,Jan,0.9993
beetle convertible,2,Feb,1.0005,0.0,1.0313,15,low,True,59,0,False,2,Feb,1.0005,1,Jan,0.9993
beetle convertible,3,Mar,1.0001,0.0,1.0217,3,low,True,59,0,False,2,Feb,1.0005,1,Jan,0.9993
beetle convertible,4,Apr,1.0,0.0,1.0,0,no_data,False,59,0,False,2,Feb,1.0005,1,Jan,0.9993
beetle convertible,5,May,1.0002,0.0,1.023,10,low,True,59,0,False,2,Feb,1.0005,1,Jan,0.9993
beetle convertible,6,Jun,1.0,-0.0,0.9964,8,low,True,59,0,False,2,Feb,1.0005,1,Jan,0.9993
beetle convertible,7,Jul,1.0,0.0,1.0,0,no_data,False,59,0,False,2,Feb,1.0005,1,Jan,0.9993
beetle convertible,8,Aug,1.0,0.0,1.0,0,no_data,False,59,0,False,2,Feb,1.0005,1,Jan,0.9993
beetle convertible,9,Sep,1.0,0.0,1.0,0,no_data,False,59,0,False,2,Feb,1.0005,1,Jan,0.9993
beetle convertible,10,Oct,1.0,0.0,1.0,0,no_data,False,59,0,False,2,Feb,1.0005,1,Jan,0.9993
beetle convertible,11,Nov,1.0,0.0,1.0,0,no_data,False,59,0,False,2,Feb,1.0005,1,Jan,0.9993
beetle convertible,12,Dec,0.9999,-0.0,0.9406,1,low,True,59,0,False,2,Feb,1.0005,1,Jan,0.9993
cab plus,1,Jan,1.0,0.0,1.0,0,no_data,False,3,0,False,12,Dec,1.0006,3,Mar,0.9999
cab plus,2,Feb,1.0,0.0,1.0,1,low,True,3,0,False,12,Dec,1.0006,3,Mar,0.9999
cab plus,3,Mar,0.9999,-0.0,0.9038,1,low,True,3,0,False,12,Dec,1.0006,3,Mar,0.9999
cab plus,4,Apr,1.0,0.0,1.0,0,no_data,False,3,0,False,12,Dec,1.0006,3,Mar,0.9999
cab plus,5,May,1.0,0.0,1.0,0,no_data,False,3,0,False,12,Dec,1.0006,3,Mar,0.9999
cab plus,6,Jun,1.0,0.0,1.0,0,no_data,False,3,0,False,12,Dec,1.0006,3,Mar,0.9999
cab plus,7,Jul,1.0,0.0,1.0,0,no_data,False,3,0,False,12,Dec,1.0006,3,Mar,0.9999
cab plus,8,Aug,1.0,0.0,1.0,0,no_data,False,3,0,False,12,Dec,1.0006,3,Mar,0.9999
cab plus,9,Sep,1.0,0.0,1.0,0,no_data,False,3,0,False,12,Dec,1.0006,3,Mar,0.9999
cab plus,10,Oct,1.0,0.0,1.0,0,no_data,False,3,0,False,12,Dec,1.0006,3,Mar,0.9999
cab plus,11,Nov,1.0,0.0,1.0,0,no_data,False,3,0,False,12,Dec,1.0006,3,Mar,0.9999
cab plus,12,Dec,1.0006,0.1,1.5555,1,low,True,3,0,False,12,Dec,1.0006,3,Mar,0.9999
cab plus 4,1,Jan,1.0,0.0,1.0,0,no_data,False,6,0,False,2,Feb,1.0003,12,Dec,0.9997
cab plus 4,2,Feb,1.0003,0.0,1.143,2,low,True,6,0,False,2,Feb,1.0003,12,Dec,0.9997
cab plus 4,3,Mar,1.0,0.0,1.0,0,no_data,False,6,0,False,2,Feb,1.0003,12,Dec,0.9997
cab plus 4,4,Apr,1.0,0.0,1.0,0,no_data,False,6,0,False,2,Feb,1.0003,12,Dec,0.9997
cab plus 4,5,May,1.0,0.0,1.0,0,no_data,False,6,0,False,2,Feb,1.0003,12,Dec,0.9997
cab plus 4,6,Jun,1.0001,0.0,1.041,3,low,True,6,0,False,2,Feb,1.0003,12,Dec,0.9997
cab plus 4,7,Jul,1.0,0.0,1.0,0,no_data,False,6,0,False,2,Feb,1.0003,12,Dec,0.9997
cab plus 4,8,Aug,1.0,0.0,1.0,0,no_data,False,6,0,False,2,Feb,1.0003,12,Dec,0.9997
cab plus 4,9,Sep,1.0,0.0,1.0,0,no_data,False,6,0,False,2,Feb,1.0003,12,Dec,0.9997
cab plus 4,10,Oct,1.0,0.0,1.0,0,no_data,False,6,0,False,2,Feb,1.0003,12,Dec,0.9997
cab plus 4,11,Nov,1.0,0.0,1.0,0,no_data,False,6,0,False,2,Feb,1.0003,12,Dec,0.9997
cab plus 4,12,Dec,0.9997,-0.0,0.6794,1,low,True,6,0,False,2,Feb,1.0003,12,Dec,0.9997
club cab,1,Jan,0.9991,-0.1,0.9755,39,low,True,163,0,False,2,Feb,1.0041,12,Dec,0.9979
club cab,2,Feb,1.0041,0.4,1.0743,58,low,True,163,0,False,2,Feb,1.0041,12,Dec,0.9979
club cab,3,Mar,0.9985,-0.1,0.8741,12,low,True,163,0,False,2,Feb,1.0041,12,Dec,0.9979
club cab,4,Apr,0.999,-0.1,0.501,2,low,True,163,0,False,2,Feb,1.0041,12,Dec,0.9979
club cab,5,May,1.0025,0.3,1.1721,15,low,True,163,0,False,2,Feb,1.0041,12,Dec,0.9979
club cab,6,Jun,1.0023,0.2,1.1187,20,low,True,163,0,False,2,Feb,1.0041,12,Dec,0.9979
club cab,7,Jul,1.0,0.0,1.0,0,no_data,False,163,0,False,2,Feb,1.0041,12,Dec,0.9979
club cab,8,Aug,1.0,0.0,1.0,0,no_data,False,163,0,False,2,Feb,1.0041,12,Dec,0.9979
club cab,9,Sep,1.0,0.0,1.0,0,no_data,False,163,0,False,2,Feb,1.0041,12,Dec,0.9979
club cab,10,Oct,1.0,0.0,1.0,0,no_data,False,163,0,False,2,Feb,1.0041,12,Dec,0.9979
club cab,11,Nov,1.0,0.0,1.0,0,no_data,False,163,0,False,2,Feb,1.0041,12,Dec,0.9979
club cab,12,Dec,0.9979,-0.2,0.8729,17,low,True,163,0,False,2,Feb,1.0041,12,Dec,0.9979
convertible,1,Jan,0.9861,-1.4,0.9804,2449,high,True,10148,6,True,3,Mar,1.0197,12,Dec,0.9487
convertible,2,Feb,1.0087,0.9,1.0117,2935,high,True,10148,6,True,3,Mar,1.0197,12,Dec,0.9487
convertible,3,Mar,1.0197,2.0,1.0419,888,medium,True,10148,6,True,3,Mar,1.0197,12,Dec,0.9487
convertible,4,Apr,1.0032,0.3,1.1026,32,low,True,10148,6,True,3,Mar,1.0197,12,Dec,0.9487
convertible,5,May,1.0155,1.5,1.0297,1088,high,True,10148,6,True,3,Mar,1.0197,12,Dec,0.9487
convertible,6,Jun,1.0029,0.3,1.0044,1886,high,True,10148,6,True,3,Mar,1.0197,12,Dec,0.9487
convertible,7,Jul,1.0013,0.1,1.0362,38,low,True,10148,6,True,3,Mar,1.0197,12,Dec,0.9487
convertible,8,Aug,1.0,0.0,1.0,0,no_data,False,10148,6,True,3,Mar,1.0197,12,Dec,0.9487
convertible,9,Sep,1.0,0.0,1.0,0,no_data,False,10148,6,True,3,Mar,1.0197,12,Dec,0.9487
convertible,10,Oct,1.0,0.0,1.0,0,no_data,False,10148,6,True,3,Mar,1.0197,12,Dec,0.9487
convertible,11,Nov,1.0,0.0,1.0,0,no_data,False,10148,6,True,3,Mar,1.0197,12,Dec,0.9487
convertible,12,Dec,0.9487,-5.1,0.887,832,medium,True,10148,6,True,3,Mar,1.0197,12,Dec,0.9487
coupe,1,Jan,0.9961,-0.4,0.9951,4242,high,True,16955,6,True,3,Mar,1.022,12,Dec,0.9514
coupe,2,Feb,1.0157,1.6,1.0188,5037,high,True,16955,6,True,3,Mar,1.022,12,Dec,0.9514
coupe,3,Mar,1.022,2.2,1.0377,1403,high,True,16955,6,True,3,Mar,1.022,12,Dec,0.9514
coupe,4,Apr,1.0006,0.1,1.018,37,low,True,16955,6,True,3,Mar,1.022,12,Dec,0.9514
coupe,5,May,0.9957,-0.4,0.9931,1625,high,True,16955,6,True,3,Mar,1.022,12,Dec,0.9514
coupe,6,Jun,0.9996,-0.0,0.9995,3094,high,True,16955,6,True,3,Mar,1.022,12,Dec,0.9514
coupe,7,Jul,1.0014,0.1,1.0211,69,low,True,16955,6,True,3,Mar,1.022,12,Dec,0.9514
coupe,8,Aug,1.0,0.0,1.0,0,no_data,False,16955,6,True,3,Mar,1.022,12,Dec,0.9514
coupe,9,Sep,1.0,0.0,1.0,0,no_data,False,16955,6,True,3,Mar,1.022,12,Dec,0.9514
coupe,10,Oct,1.0,0.0,1.0,0,no_data,False,16955,6,True,3,Mar,1.022,12,Dec,0.9514
coupe,11,Nov,1.0,0.0,1.0,0,no_data,False,16955,6,True,3,Mar,1.022,12,Dec,0.9514
coupe,12,Dec,0.9514,-4.9,0.9178,1448,high,True,16955,6,True,3,Mar,1.022,12,Dec,0.9514
crew cab,1,Jan,1.0035,0.3,1.0043,3970,high,True,16005,6,True,6,Jun,1.012,12,Dec,0.9587
crew cab,2,Feb,1.0043,0.4,1.0052,4760,high,True,16005,6,True,6,Jun,1.012,12,Dec,0.9587
crew cab,3,Mar,1.0026,0.3,1.0045,1367,high,True,16005,6,True,6,Jun,1.012,12,Dec,0.9587
crew cab,4,Apr,0.9953,-0.5,0.8607,35,low,True,16005,6,True,6,Jun,1.012,12,Dec,0.9587
crew cab,5,May,0.9955,-0.5,0.9929,1742,high,True,16005,6,True,6,Jun,1.012,12,Dec,0.9587
crew cab,6,Jun,1.012,1.2,1.016,2990,high,True,16005,6,True,6,Jun,1.012,12,Dec,0.9587
crew cab,7,Jul,0.9974,-0.3,0.9502,55,low,True,16005,6,True,6,Jun,1.012,12,Dec,0.9587
crew cab,8,Aug,1.0,0.0,1.0,0,no_data,False,16005,6,True,6,Jun,1.012,12,Dec,0.9587
crew cab,9,Sep,1.0,0.0,1.0,0,no_data,False,16005,6,True,6,Jun,1.012,12,Dec,0.9587
crew cab,10,Oct,1.0,0.0,1.0,0,no_data,False,16005,6,True,6,Jun,1.012,12,Dec,0.9587
crew cab,11,Nov,1.0,0.0,1.0,0,no_data,False,16005,6,True,6,Jun,1.012,12,Dec,0.9587
crew cab,12,Dec,0.9587,-4.1,0.9207,1086,high,True,16005,6,True,6,Jun,1.012,12,Dec,0.9587
crewmax cab,1,Jan,0.9962,-0.4,0.9694,140,medium,True,550,3,True,2,Feb,1.003,1,Jan,0.9962
crewmax cab,2,Feb,1.003,0.3,1.0219,158,medium,True,550,3,True,2,Feb,1.003,1,Jan,0.9962
crewmax cab,3,Mar,1.0024,0.2,1.0707,35,low,True,550,3,True,2,Feb,1.003,1,Jan,0.9962
