body,sale_month,month_name,seasonal_factor,seasonal_delta_pct,raw_factor,observations,confidence,is_observed,body_observations,recommendation_eligible_months,has_recommendation,best_month,best_month_name,best_factor,worst_month,worst_month_name,worst_factor
access cab,1,Jan,0.9991,-0.1,0.9839,56,low,True,289,0,False,2,Feb,1.0014,6,Jun,0.9984
access cab,2,Feb,1.0014,0.1,1.0187,83,low,True,289,0,False,2,Feb,1.0014,6,Jun,0.9984
access cab,3,Mar,0.9992,-0.1,0.9686,26,low,True,289,0,False,2,Feb,1.0014,6,Jun,0.9984
access cab,4,Apr,1.0003,0.0,1.2505,1,low,True,289,0,False,2,Feb,1.0014,6,Jun,0.9984
access cab,5,May,1.0011,0.1,1.0321,36,low,True,289,0,False,2,Feb,1.0014,6,Jun,0.9984
access cab,6,Jun,0.9984,-0.2,0.9703,56,low,True,289,0,False,2,Feb,1.0014,6,Jun,0.9984
access cab,7,Jul,1.0001,0.0,1.0807,1,low,True,289,0,False,2,Feb,1.0014,6,Jun,0.9984
access cab,8,Aug,1.0,0.0,1.0,0,no_data,False,289,0,False,2,Feb,1.0014,6,Jun,0.9984
access cab,9,Sep,1.0,0.0,1.0,0,no_data,False,289,0,False,2,Feb,1.0014,6,Jun,0.9984
access cab,10,Oct,1.0,0.0,1.0,0,no_data,False,289,0,False,2,Feb,1.0014,6,Jun,0.9984
access cab,11,Nov,1.0,0.0,1.0,0,no_data,False,289,0,False,2,Feb,1.0014,6,Jun,0.9984
access cab,12,Dec,0.9993,-0.1,0.9745,30,low,True,289,0,False,2,Feb,1.0014,6,Jun,0.9984
beetle convertible,1,Jan,0.9994,-0.1,0.9733,22,low,True,58,0,False,2,Feb,1.0003,1,Jan,0.9994
beetle convertible,2,Feb,1.0003,0.0,1.0207,14,low,True,58,0,False,2,Feb,1.0003,1,Jan,0.9994
beetle convertible,3,Mar,1.0,0.0,1.0026,3,low,True,58,0,False,2,Feb,1.0003,1,Jan,0.9994
beetle convertible,4,Apr,1.0,0.0,1.0,0,no_data,False,58,0,False,2,Feb,1.0003,1,Jan,0.9994
beetle convertible,5,May,1.0002,0.0,1.0233,10,low,True,58,0,False,2,Feb,1.0003,1,Jan,0.9994
beetle convertible,6,Jun,0.9998,-0.0,0.9766,8,low,True,58,0,False,2,Feb,1.0003,1,Jan,0.9994
beetle convertible,7,Jul,1.0,0.0,1.0,0,no_data,False,58,0,False,2,Feb,1.0003,1,Jan,0.9994
beetle convertible,8,Aug,1.0,0.0,1.0,0,no_data,False,58,0,False,2,Feb,1.0003,1,Jan,0.9994
beetle convertible,9,Sep,1.0,0.0,1.0,0,no_data,False,58,0,False,2,Feb,1.0003,1,Jan,0.9994
beetle convertible,10,Oct,1.0,0.0,1.0,0,no_data,False,58,0,False,2,Feb,1.0003,1,Jan,0.9994
beetle convertible,11,Nov,1.0,0.0,1.0,0,no_data,False,58,0,False,2,Feb,1.0003,1,Jan,0.9994
beetle convertible,12,Dec,1.0,-0.0,0.9948,1,low,True,58,0,False,2,Feb,1.0003,1,Jan,0.9994
cab plus,1,Jan,1.0,0.0,1.0,0,no_data,False,3,0,False,12,Dec,1.0006,2,Feb,0.9999
cab plus,2,Feb,0.9999,-0.0,0.8827,1,low,True,3,0,False,12,Dec,1.0006,2,Feb,0.9999
cab plus,3,Mar,1.0,0.0,1.0,1,low,True,3,0,False,12,Dec,1.0006,2,Feb,0.9999
cab plus,4,Apr,1.0,0.0,1.0,0,no_data,False,3,0,False,12,Dec,1.0006,2,Feb,0.9999
cab plus,5,May,1.0,0.0,1.0,0,no_data,False,3,0,False,12,Dec,1.0006,2,Feb,0.9999
cab plus,6,Jun,1.0,0.0,1.0,0,no_data,False,3,0,False,12,Dec,1.0006,2,Feb,0.9999
cab plus,7,Jul,1.0,0.0,1.0,0,no_data,False,3,0,False,12,Dec,1.0006,2,Feb,0.9999
cab plus,8,Aug,1.0,0.0,1.0,0,no_data,False,3,0,False,12,Dec,1.0006,2,Feb,0.9999
cab plus,9,Sep,1.0,0.0,1.0,0,no_data,False,3,0,False,12,Dec,1.0006,2,Feb,0.9999
cab plus,10,Oct,1.0,0.0,1.0,0,no_data,False,3,0,False,12,Dec,1.0006,2,Feb,0.9999
cab plus,11,Nov,1.0,0.0,1.0,0,no_data,False,3,0,False,12,Dec,1.0006,2,Feb,0.9999
cab plus,12,Dec,1.0006,0.1,1.5691,1,low,True,3,0,False,12,Dec,1.0006,2,Feb,0.9999
cab plus 4,1,Jan,1.0,0.0,1.0,0,no_data,False,6,0,False,2,Feb,1.0006,12,Dec,0.9998
cab plus 4,2,Feb,1.0006,0.1,1.284,2,low,True,6,0,False,2,Feb,1.0006,12,Dec,0.9998
cab plus 4,3,Mar,1.0,0.0,1.0,0,no_data,False,6,0,False,2,Feb,1.0006,12,Dec,0.9998
cab plus 4,4,Apr,1.0,0.0,1.0,0,no_data,False,6,0,False,2,Feb,1.0006,12,Dec,0.9998
cab plus 4,5,May,1.0,0.0,1.0,0,no_data,False,6,0,False,2,Feb,1.0006,12,Dec,0.9998
cab plus 4,6,Jun,1.0001,0.0,1.0178,3,low,True,6,0,False,2,Feb,1.0006,12,Dec,0.9998
cab plus 4,7,Jul,1.0,0.0,1.0,0,no_data,False,6,0,False,2,Feb,1.0006,12,Dec,0.9998
cab plus 4,8,Aug,1.0,0.0,1.0,0,no_data,False,6,0,False,2,Feb,1.0006,12,Dec,0.9998
cab plus 4,9,Sep,1.0,0.0,1.0,0,no_data,False,6,0,False,2,Feb,1.0006,12,Dec,0.9998
cab plus 4,10,Oct,1.0,0.0,1.0,0,no_data,False,6,0,False,2,Feb,1.0006,12,Dec,0.9998
cab plus 4,11,Nov,1.0,0.0,1.0,0,no_data,False,6,0,False,2,Feb,1.0006,12,Dec,0.9998
