body,sale_month,month_name,seasonal_factor,seasonal_delta_pct,raw_factor,observations,confidence,is_observed,body_observations,recommendation_eligible_months,has_recommendation,best_month,best_month_name,best_factor,worst_month,worst_month_name,worst_factor
access cab,1,Jan,0.9997,-0.0,0.9953,56,low,True,289,0,False,2,Feb,1.0013,6,Jun,0.9989
access cab,2,Feb,1.0013,0.1,1.017,83,low,True,289,0,False,2,Feb,1.0013,6,Jun,0.9989
access cab,3,Mar,0.9997,-0.0,0.9893,26,low,True,289,0,False,2,Feb,1.0013,6,Jun,0.9989
access cab,4,Apr,1.0001,0.0,1.0535,1,low,True,289,0,False,2,Feb,1.0013,6,Jun,0.9989
access cab,5,May,1.0004,0.0,1.0103,36,low,True,289,0,False,2,Feb,1.0013,6,Jun,0.9989
access cab,6,Jun,0.9989,-0.1,0.9789,56,low,True,289,0,False,2,Feb,1.0013,6,Jun,0.9989
access cab,7,Jul,1.0,0.0,1.0025,1,low,True,289,0,False,2,Feb,1.0013,6,Jun,0.9989
access cab,8,Aug,1.0,0.0,1.0,0,no_data,False,289,0,False,2,Feb,1.0013,6,Jun,0.9989
access cab,9,Sep,1.0,0.0,1.0,0,no_data,False,289,0,False,2,Feb,1.0013,6,Jun,0.9989
access cab,10,Oct,1.0,0.0,1.0,0,no_data,False,289,0,False,2,Feb,1.0013,6,Jun,0.9989
access cab,11,Nov,1.0,0.0,1.0,0,no_data,False,289,0,False,2,Feb,1.0013,6,Jun,0.9989
access cab,12,Dec,0.9994,-0.1,0.9806,30,low,True,289,0,False,2,Feb,1.0013,6,Jun,0.9989
beetle convertible,1,Jan,0.9998,-0.0,0.9917,22,low,True,58,0,False,5,May,1.0002,1,Jan,0.9998
beetle convertible,2,Feb,0.9998,-0.0,0.9877,14,low,True,58,0,False,5,May,1.0002,1,Jan,0.9998
beetle convertible,3,Mar,1.0,0.0,1.0005,3,low,True,58,0,False,5,May,1.0002,1,Jan,0.9998
beetle convertible,4,Apr,1.0,0.0,1.0,0,no_data,False,58,0,False,5,May,1.0002,1,Jan,0.9998
beetle convertible,5,May,1.0002,0.0,1.0223,10,low,True,58,0,False,5,May,1.0002,1,Jan,0.9998
beetle convertible,6,Jun,1.0,-0.0,0.9938,8,low,True,58,0,False,5,May,1.0002,1,Jan,0.9998
beetle convertible,7,Jul,1.0,0.0,1.0,0,no_data,False,58,0,False,5,May,1.0002,1,Jan,0.9998
beetle convertible,8,Aug,1.0,0.0,1.0,0,no_data,False,58,0,False,5,May,1.0002,1,Jan,0.9998
beetle convertible,9,Sep,1.0,0.0,1.0,0,no_data,False,58,0,False,5,May,1.0002,1,Jan,0.9998
beetle convertible,10,Oct,1.0,0.0,1.0,0,no_data,False,58,0,False,5,May,1.0002,1,Jan,0.9998
beetle convertible,11,Nov,1.0,0.0,1.0,0,no_data,False,58,0,False,5,May,1.0002,1,Jan,0.9998
beetle convertible,12,Dec,1.0,0.0,1.0345,1,low,True,58,0,False,5,May,1.0002,1,Jan,0.9998
cab plus,1,Jan,1.0,0.0,1.0,0,no_data,False,3,0,False,12,Dec,1.0006,2,Feb,0.9999
cab plus,2,Feb,0.9999,-0.0,0.872,1,low,True,3,0,False,12,Dec,1.0006,2,Feb,0.9999
cab plus,3,Mar,1.0,0.0,1.0,1,low,True,3,0,False,12,Dec,1.0006,2,Feb,0.9999
cab plus,4,Apr,1.0,0.0,1.0,0,no_data,False,3,0,False,12,Dec,1.0006,2,Feb,0.9999
cab plus,5,May,1.0,0.0,1.0,0,no_data,False,3,0,False,12,Dec,1.0006,2,Feb,0.9999
cab plus,6,Jun,1.0,0.0,1.0,0,no_data,False,3,0,False,12,Dec,1.0006,2,Feb,0.9999
